,auroc_in_hotspot,auprc_in_hotspot,auroc_ex_hotspot,auprc_ex_hotspot,auroc_in_pcorr,auprc_in_pcorr,auroc_ex_pcorr,auprc_ex_pcorr,auroc_in_scorr,auprc_in_scorr,auroc_ex_scorr,auprc_ex_scorr,auroc_in_celcomen,auprc_in_celcomen,auroc_ex_celcomen,auprc_ex_celcomen,gen_func,adj_func,ex_in_same
6,0.5833333333333333,0.7416666666666666,0.5416666666666666,0.6722222222222222,0.3333333333333333,0.6033068783068783,0.5,0.6545634920634921,0.3333333333333333,0.6033068783068783,0.45833333333333337,0.6432208994708994,0.5,0.6545634920634921,0.4583333333333333,0.6416666666666666,gen_binary_selfone,adj_abs,same_false
7,0.8095238095238095,0.9333333333333331,,0.9999999999999999,0.33333333333333337,0.6718537414965986,,1.0,0.33333333333333337,0.6718537414965986,,1.0,0.2857142857142857,0.6586734693877551,,1.0,gen_binary_selfone,adj_abs,same_false
8,0.46,0.6499999999999999,0.32000000000000006,0.38,0.8600000000000001,0.8433333333333334,0.44,0.5746031746031747,0.8200000000000001,0.8180952380952381,0.32,0.5424603174603175,0.6599999999999999,0.7461111111111112,0.56,0.6300000000000001,gen_binary_selfone,adj_abs,same_false
9,0.5952380952380952,0.8321428571428571,0.3958333333333333,0.6138888888888889,0.6428571428571429,0.8160997732426304,0.6458333333333334,0.7657738095238096,0.5952380952380953,0.8045918367346939,0.6458333333333334,0.7780423280423281,0.40476190476190477,0.7408163265306122,0.625,0.775,gen_binary_selfone,adj_abs,same_false
0,0.625,0.7680555555555555,0.3125,0.75,0.375,0.6152116402116402,0.5625,0.8876984126984127,0.41666666666666663,0.6314814814814815,0.5,0.8719246031746032,0.41666666666666663,0.6735449735449736,0.75,0.95,gen_dense_selfone,adj_abs,same_false
1,0.875,0.975,0.6666666666666667,0.8333333333333333,0.125,0.7073412698412699,0.33333333333333337,0.6718537414965986,0.125,0.7073412698412699,0.33333333333333337,0.6718537414965986,0.125,0.7069940476190477,0.30952380952380953,0.6428571428571428,gen_dense_selfone,adj_abs,same_false
2,0.4583333333333333,0.5194444444444444,0.35714285714285715,0.5809523809523809,0.25,0.5751322751322752,0.5,0.7742346938775511,0.25,0.5751322751322752,0.45238095238095244,0.7539965986394558,0.5,0.6585978835978836,0.6904761904761906,0.8343537414965987,gen_dense_selfone,adj_abs,same_false
3,0.7142857142857144,0.875,0.4583333333333333,0.5194444444444444,0.4285714285714286,0.6956916099773243,0.29166666666666663,0.5866402116402116,0.4285714285714286,0.6956916099773243,0.29166666666666663,0.5866402116402116,0.2380952380952381,0.6441326530612245,0.4583333333333333,0.6416666666666666,gen_dense_selfone,adj_abs,same_false
4,0.59375,0.8802083333333334,0.5555555555555556,0.9407407407407409,0.53125,0.839608134920635,0.7777777777777778,0.9751543209876543,0.59375,0.8512400793650794,0.7777777777777778,0.9751543209876543,0.5625,0.8646081349206349,0.7222222222222222,0.9722222222222222,gen_dense_selfone,adj_abs,same_false
5,0.875,0.975,0.4523809523809524,0.6238095238095237,0.125,0.7073412698412699,0.5,0.7663265306122449,0.125,0.7073412698412699,0.45238095238095244,0.7539965986394558,0.125,0.7073412698412699,0.45238095238095244,0.7464285714285713,gen_dense_selfone,adj_abs,same_false
6,0.35714285714285715,0.6642857142857141,0.6666666666666666,0.8166666666666667,0.5476190476190477,0.7922619047619048,0.41666666666666663,0.6216269841269841,0.5476190476190477,0.7778344671201814,0.45833333333333337,0.6432208994708994,0.45238095238095244,0.7610544217687074,0.41666666666666663,0.6166666666666667,gen_dense_selfone,adj_abs,same_false
7,0.35416666666666663,0.5861111111111111,0.8333333333333333,0.9833333333333336,0.6875,0.7893849206349206,0.16666666666666666,0.8560405643738977,0.6458333333333333,0.7740079365079365,0.16666666666666666,0.8560405643738977,0.7916666666666667,0.8581349206349207,0.16666666666666666,0.85,gen_dense_selfone,adj_abs,same_false
8,0.68,0.8,0.30952380952380953,0.557142857142857,0.6799999999999999,0.6747619047619048,0.40476190476190477,0.7408163265306122,0.6799999999999999,0.6747619047619048,0.40476190476190477,0.7408163265306122,0.6799999999999999,0.6747619047619048,0.5476190476190477,0.7892857142857143,gen_dense_selfone,adj_abs,same_false
9,0.2380952380952381,0.5404761904761904,0.125,0.6916666666666668,0.7142857142857143,0.8903061224489797,0.6875,0.9247519841269841,0.761904761904762,0.9064625850340136,0.625,0.9106150793650793,0.8095238095238095,0.91797052154195,0.75,0.95,gen_dense_selfone,adj_abs,same_false
